DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Butyrate_Power
COLOR,#E64B35
WIDTH,300
DATA
C_P07_bin.21,  0.00000000
S_ERR13594520_bin.3,  0.00000000
C_P16_bin.6,  0.00000000
S_ERR13594517_bin.2,  1.30309871
S_ERR13594546_bin.2,  0.00000000
S_ERR13594527_bin.3,  0.00000000
S_ERR13594512_bin.2,  0.00000000
S_ERR13594588_bin.1,  0.00000000
C_P23_bin.8,  0.00000000
C_P01_bin.7,  0.00000000
S_ERR13594578_bin.3,  1.94111729
C_P14_bin.10,  0.00000000
C_P04_bin.6,  0.00000000
S_ERR13594581_bin.2,  0.00000000
C_P07_bin.11,  0.00000000
S_ERR13594554_bin.3,  0.00000000
S_ERR13594575_bin.7,  0.00000000
C_P29_bin.7,  0.00000000
S_ERR13594565_bin.2,  0.00000000
S_ERR13594582_bin.10,  0.00000000
S_ERR13594529_bin.1,  0.00000000
S_ERR13594566_bin.1,  0.00000000
C_P11_bin.3,  0.00000000
S_ERR13594538_bin.1,  0.00000000
C_P20_bin.13,  0.00000000
S_ERR13594514_bin.2,  2.22390439
C_P19_bin.12,  0.00000000
C_P06_bin.10,  3.38589314
C_P26_bin.3,  0.00000000
C_P11_bin.6,  0.00000000
C_P23_bin.22,  0.00000000
S_ERR13594529_bin.2,  0.00000000
C_P29_bin.3,  0.00000000
S_ERR13594578_bin.5,  0.00000000
S_ERR13594585_bin.10,  0.00000000
S_ERR13594532_bin.4,  3.16711107
C_P21_bin.10,  0.00000000
S_ERR13594573_bin.2,  0.00000000
S_ERR13594573_bin.4,  0.00000000
S_ERR13594545_bin.5, 31.86600571
C_P09_bin.3,  0.00000000
C_P06_bin.8,  0.00000000
S_ERR13594530_bin.7,  0.00000000
S_ERR13594552_bin.5,  2.54500014
C_P07_bin.16,  0.00000000
S_ERR13594567_bin.6,  0.00000000
C_P20_bin.6, 16.30753029
C_P18_bin.2,  0.00000000
C_P18_bin.5,  0.00000000
C_P18_bin.16,  5.73756146
C_P01_bin.1,  0.00000000
S_ERR13594528_bin.2,  0.00000000
S_ERR13594537_bin.3,  0.00000000
C_P17_bin.4,  0.00000000
C_P04_bin.9,  0.00000000
C_P10_bin.5,  0.00000000
C_P14_bin.8,  0.00000000
C_P14_bin.3,  0.00000000
C_P03_bin.2,  0.00000000
C_P07_bin.1,  0.00000000
