user_genome	classification
C_P17_bin.21	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;CAG-590;CAG-590 sp900552885
C_P17_bin.3	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Coprococcus sp000433075
C_P17_bin.4	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_C;Ruminococcus_C callidus
C_P17_bin.5	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira eligens_A
C_P18_bin.11	Bacteria;Bacillota;Negativicutes;Veillonellales;Megasphaeraceae;Megasphaera;Megasphaera intestinihominis
C_P18_bin.13	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
C_P18_bin.14	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella sp900540885
C_P18_bin.16	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter saccharivorans
C_P18_bin.17	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella sp900542795
C_P18_bin.2	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E;Ruminiclostridium_E siraeum
C_P18_bin.5	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900313215
C_P18_bin.6	Bacteria;Bacillota;Clostridia;Lachnospirales;Anaerotignaceae;Anaerotignum_A;Anaerotignum_A faecicola
C_P18_bin.7	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp000434635
C_P19_bin.10	Bacteria;Bacillota;Negativicutes;Veillonellales;Megasphaeraceae;Megasphaera;Megasphaera intestinihominis
C_P19_bin.12	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;
C_P19_bin.13	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;Fimenecus;Fimenecus sp000432435
C_P19_bin.4	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus;Acidaminococcus intestini
C_P19_bin.5	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;Hominenteromicrobium;Hominenteromicrobium mulieris
C_P19_bin.7	Bacteria;Bacillota;Negativicutes;Veillonellales;Dialisteraceae;Dialister;Dialister sp000434475
